full_name,primary_channel,primary_match_reason,primary_confidence,all_channels,channel_count
fdp_dev_std_internal.std_internal_jde.item_branch_plant_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.item_master,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.item_master_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.item_units_of_measure_conversion_factors,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.item_units_of_measure_conversion_factors_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.payment_terms,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.payment_terms_hist,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.po_detail_ledger_file__f43199,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.price_adjustment_ledger_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.purchase_order_detail_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.purchase_order_detail_tag_file__f4311t,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.purchase_order_header,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.purchase_order_header_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.purchase_order_receiver_file__f43121,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.sales_order_detail_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.sales_order_header_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.sales_order_header_history_file,C,high_density_source:jde_95pct,HIGH,C,1
fdp_dev_std_internal.std_internal_jde.sales_order_history_file,C,high_density_source:jde_95pct,HIGH,C,1
