src_full_name,tgt_full_name,edge_count,hop,direction
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_fonterra,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_fonterra,87,2,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,82,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_mainland,82,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra_bkp,1,2,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,fdp_dev_srv_internal.srv_internal_korora.shipment_container_tracking_summary_fonterra,35,2,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,fdp_dev_srv_internal.srv_internal_korora.vw_shipment_container_tracking_summary_fonterra,8,2,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra_bkp,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,1,3,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra_bkp,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,1,1,up
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_fonterra,1,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,fdp_dev_srv_internal.srv_internal_korora.shipment_container_tracking_summary_mainland,15,1,down
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,fdp_dev_srv_internal.srv_internal_korora.vw_shipment_container_tracking_summary_mainland,6,1,down
fdp_dev_itg_internal.itg_internal_scv.indirect_sales,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,1,2,up
fdp_dev_itg_internal.itg_internal_scv.indirect_sales,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,4,1,up
fdp_dev_itg_internal.itg_internal_scv.indirect_sales_05052026,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,2,2,up
fdp_dev_itg_internal.itg_internal_scv.japan_customer_stock_sales,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,1,2,up
fdp_dev_itg_internal.itg_internal_scv.japan_customer_stock_sales,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,4,1,up
fdp_dev_itg_internal.itg_internal_scv.japan_customer_stock_sales_05052026,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,2,2,up
fdp_dev_itg_internal.itg_internal_scv.switch_indirect,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,1,2,up
fdp_dev_itg_internal.itg_internal_scv.switch_indirect,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,4,1,up
fdp_dev_itg_internal.itg_internal_scv.switch_indirect_05052026,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,2,2,up
fdp_dev_itg_internal.itg_internal_scv.warehouse_replenishment,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,1,2,up
fdp_dev_itg_internal.itg_internal_scv.warehouse_replenishment,fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_summary_mainland,4,1,up
fdp_dev_itg_internal.itg_internal_scv.warehouse_replenishment_05052026,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,2,2,up
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_buying_channel,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,3,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_buying_channel,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,3,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_buying_channel,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,3,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_buying_channel,fdp_dev_srv_internal.srv_internal_source_to_pay.dim_buying_channel,2,3,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_concur_merchant,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,4,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_concur_merchant,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,4,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_concur_merchant,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,4,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_concur_merchant,fdp_dev_srv_internal.srv_internal_source_to_pay.dim_concur_merchant,3,4,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,2,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,fdp_dev_srv_internal.srv_internal_source_to_pay.dim_purchase_order_profile,3,2,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,2,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,2,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,fdp_dev_srv_internal.srv_internal_source_to_pay.dim_supplier_invoice_profile,4,2,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_status,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,4,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_status,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,4,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_status,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,4,down
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_status,fdp_dev_srv_internal.srv_internal_source_to_pay.dim_supplier_invoice_status,7,4,down
fdp_dev_itg_internal.itg_internal_supply.shipping_unit,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,1,2,up
fdp_dev_itg_internal.itg_internal_supply.shipping_unit_05052026,fdp_dev_itg_internal.itg_internal_korora.scv_shipping_unit,2,2,up
fdp_dev_itg_restricted.itg_restricted_finance.fact_cost_centre_analytics,fdp_dev_srv_restricted.srv_restricted_finance.fact_cost_centre_analytics,15,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_itg_internal.itg_internal_finance.dim_supplier,4,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_itg_internal.itg_internal_source_to_pay.dim_concur_merchant,29,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,30,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_status,29,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_srv_internal.srv_internal_source_to_pay.accounting_documents_ml_classification_incl_punaha,6,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,fdp_dev_srv_internal.srv_internal_source_to_pay.vw_accounting_documents_ml_classification_incl_punaha,1,3,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,fdp_dev_itg_internal.itg_internal_source_to_pay.dim_buying_channel,30,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_invoice_status,2,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,29,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,29,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,29,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,fdp_dev_srv_internal.srv_internal_source_to_pay.accounting_documents_ml_classification_incl_punaha,6,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,fdp_dev_srv_internal.srv_internal_source_to_pay.vw_accounting_documents_ml_classification_incl_punaha,1,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order_header,fdp_dev_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,29,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order_header,fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,2,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order_item,fdp_dev_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,29,2,down
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order_item,fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,2,2,down
fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice_bkp_31032026,1,3,down
fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_corporate_expense_invoice,fdp_dev_srv_restricted.srv_restricted_source_to_pay.fact_corporate_expense_invoice,13,3,down
fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,fdp_dev_srv_internal.srv_internal_source_to_pay.fact_supplier_invoice_payment,13,3,down
fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,fdp_dev_srv_restricted.srv_restricted_source_to_pay.fact_supplier_invoice_payment,1,3,down
fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_supplier_parked_invoice,fdp_dev_srv_restricted.srv_restricted_source_to_pay.fact_supplier_parked_invoice,5,3,down
fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,fdp_dev_srv_internal.srv_internal_source_to_pay.fact_supplier_invoice_payment,13,3,down
fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,fdp_dev_srv_restricted.srv_restricted_source_to_pay.fact_supplier_invoice_payment,1,3,down
fdp_dev_itg_restricted.itg_restricted_source_to_pay.fact_vendor_transaction,fdp_dev_srv_restricted.srv_restricted_source_to_pay.fact_vendor_transaction,14,3,down
fdp_dev_srv_internal.srv_internal_ame_data_warehouse.open_po_report,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.po_dashboard,2,3,down
fdp_dev_srv_internal.srv_internal_jde.dim_address_book_master,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.open_po_report,4,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_address_book_master,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.po_status_report_detailed,2,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_address_book_master,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.spend_by_vendor_report,2,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_company_constants,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.spend_by_vendor_report,2,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_item_master,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.open_po_report,4,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_item_master,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.po_status_report_detailed,2,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_payment_terms,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.spend_by_vendor_report,2,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_supplier_master,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.spend_by_vendor_report,2,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_user_defined_codes_values,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.open_po_report,4,2,down
fdp_dev_srv_internal.srv_internal_jde.dim_user_defined_codes_values,fdp_dev_srv_internal.srv_internal_ame_data_warehouse.po_status_report_detailed,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_company_cd,fdp_dev_srv_internal.srv_internal_inventory.au_inventory_fin_rpt_mb5l,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_company_cd,fdp_dev_srv_internal.srv_internal_sapanzecc.availability_report,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_company_cd,fdp_dev_srv_internal.srv_internal_sapanzecc.rpt_delivered_full_diff,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_company_cd,fdp_dev_srv_internal.srv_internal_sapanzecc.rpt_foodservice_order,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_conditions_item,fdp_dev_srv_internal.srv_internal_sapanzecc.rpt_base_commodity_pricing,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer,fdp_dev_srv_internal.srv_internal_sapanzecc.availability_report,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer,fdp_dev_srv_internal.srv_internal_sapanzecc.dim_fia_dp_customer_master,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer,fdp_dev_srv_internal.srv_internal_sapanzecc.rpt_delivered_full_diff,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer,fdp_dev_srv_internal.srv_internal_sapanzecc.rpt_foodservice_order,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer_hierarchies,fdp_dev_srv_internal.srv_internal_sapanzecc.availability_report,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_customer_hierarchies,fdp_dev_srv_internal.srv_internal_sapanzecc.rpt_delivered_full_diff,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_gl_acct,fdp_dev_srv_internal.srv_internal_inventory.au_inventory_fin_rpt_mb5l,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_material_plant,fdp_dev_srv_internal.srv_internal_inventory.au_inventory_fin_rpt_mb5l,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_material_plant,fdp_dev_srv_internal.srv_internal_sapanzecc.cogs_zcost_component,2,2,down
fdp_dev_srv_internal.srv_internal_sapanzecc.dim_movement_type_text,fdp_dev_srv_internal.srv_internal_sapanzecc.rpt_storage_damage,2,2,down
