node,is_seed,first_seen_hop,first_seen_dir,n_upstream,n_upstream_mainland,n_downstream,n_downstream_mainland,mainland_in_ratio,mainland_out_ratio,bridge_score,category,sep_business_entity,sep_location,sep_employee,sep_customer,sep_material,sep_sales_org,catalog,schema,table_name
fdp_dev_srv_internal.srv_internal_fsa.fbnz_products,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_fsa,fbnz_products
fdp_dev_srv_internal.srv_internal_inventory.dim_product_version_000_mld,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_inventory,dim_product_version_000_mld
fdp_dev_srv_internal.srv_internal_inventory.fact_consolidated_inventory_mld,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_inventory,fact_consolidated_inventory_mld
fdp_dev_srv_internal.srv_internal_inventory.fact_resource_material_mld,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_inventory,fact_resource_material_mld
fdp_dev_srv_internal.srv_internal_inventory.fact_resource_material_version_mld,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_inventory,fact_resource_material_version_mld
fdp_dev_srv_internal.srv_internal_inventory.fact_resource_mld,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_inventory,fact_resource_mld
fdp_dev_srv_internal.srv_internal_inventory.fact_resource_version_mld,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_inventory,fact_resource_version_mld
fdp_dev_srv_internal.srv_internal_inventory.fact_snp_supply_plan_mld,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_inventory,fact_snp_supply_plan_mld
fdp_dev_srv_internal.srv_internal_jde.dim_account_master,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_jde,dim_account_master
fdp_dev_srv_internal.srv_internal_jde.dim_address_organisation_structure_master,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_jde,dim_address_organisation_structure_master
fdp_dev_srv_internal.srv_internal_jde.dim_business_unit_master,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_jde,dim_business_unit_master
fdp_dev_srv_internal.srv_internal_jde.dim_item_branch_plant,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_jde,dim_item_branch_plant
